rank,product,brand,rating,feature,rec_type,category,review
7416,잇츠스킨 알로에 진정 세럼 40ml ,잇츠스킨,4.5, ,모든피부용,에센스,29
7417,코리아나 라비다 링클 솔루션 앰플 15ml x 4개 세트 ,코리아나,4.9, ,모든피부용,에센스,7
7418,웰라쥬 리얼 시카 클리어 원데이 키트 ,코스온,4.4," 촉촉함(수분공급), 흡수력","주름케어, 피부탄력",에센스,10
7419,닥터랩 바이오펩타 리바이탈라이징 앰플 500ml ,닥터랩,5, 주름케어,주름케어,에센스,5
7420,닥터지 악티펌 리얼 리프팅 셀 에센스 30ml ,고운세상,4.6, 주름케어,주름케어,에센스,38
7421,엘리자베스아덴 세라마이드 캡슐 데일리 유스 리스토어링 세럼 60Caps ,엘리자베스아덴,4.7, 주름케어,주름케어,에센스,45
7422,베네피트 인스턴트 컴백 페이셜 세럼 30ml ,베네피트,4.8, ,모든피부용,에센스,36
7423,에이솝 파슬리 씨드 안티 옥시던트 하이드레이터 60ml ,에이솝,4.7, ,모든피부용,에센스,65
7424,라벨영 쇼킹 효과 레시피 스팟 토닝 버전 30ml ,라벨영,4.8, ,모든피부용,에센스,280
7425,리리코스 마린 스노우 화이트 큐어 앰플 7ml X 6개 ,아모레퍼시픽,4.2, 화이트닝,화이트닝,에센스,21
7426,바랑소리 보드레 부스터 70ml ,초콜릿코스메틱,4.7, 촉촉함(수분공급),촉촉함(수분공급),에센스,141
7427,과일나라 에센셜 콜라겐 화이트닝 에센스 40ml ,웰코스,5, 화이트닝,화이트닝,에센스,4
7428,셀리맥스 더마네이처 비에프티 모이스처라이징 리포좀 세럼 30ml ,아이큐어,4.5, 촉촉함(수분공급),"화이트닝, 피부탄력, 영양공급",에센스,51
7429,헤라 포어 컨트롤 세럼 40ml ,아모레퍼시픽,4.7, 모공케어,모공케어,에센스,253
7430,아이소이 불가리안 로즈 브라이트닝 링클케어 10ml ,다비드화장품,4.6, 모공케어,모공케어,에센스,46
7431,입큰 히알루론산 100% 원액 20ml ,이넬,4.7, ,모든피부용,에센스,198
7432,시드물 닥터트럽 포어 리파이닝 세럼 60ml ,시드물,4.6, 모공케어,모공케어,에센스,102
7433,더페이스샵 석류 앤 콜라겐 볼륨 탄력 에센스 80ml ,더페이스샵,4.5, 모공케어,모공케어,에센스,32
7434,라다메르 셀 리제너레이션 에센스 350ml ,바이온셀,4.7, ,모든피부용,에센스,6
7435,네이처카인드 익스트림 욕세럼 35ml ,피에프네이처,4.3," 촉촉함(수분공급), 트러블케어","피부강화, 피부탄력, 영양공급, 모공케어",에센스,209
7436,메리케이 타임와이즈 리플레니싱 세럼 플러스 C 4개 세트 ,메리케이,4.8, ,모든피부용,에센스,191
7437,한율 흰감국 미백 파우더 세럼 40g ,아모레퍼시픽,4.7, 화이트닝,화이트닝,에센스,122
7438,에스테덤 셀룰러 워터 에센스 125ml ,에스테덤,4.7, 촉촉함(수분공급),"주름케어, 영양공급",에센스,122
7439,이자녹스 MX-2 엑스트라 듀얼 액티베이팅 세럼 40ml ,엘지생활건강,4.5, 촉촉함(수분공급),"주름케어, 영양공급",에센스,305
7440,에이씨케어 비즈 컨트롤 세럼 30ml ,동성제약,4.7, 민감성,민감성,에센스,50
7441,생그린 보습 세럼 50ml(건성) ,생그린,4.8, 건성,건성,에센스,39
7442,크리니크 이븐 베터 클리니컬 다크 스팟 코렉터 30ml ,크리니크,4.8, 화이트닝,화이트닝,에센스,74
7443,10.0 툴시 부스터 25ml ,2019.07.,5, 영양공급,영양공급,에센스,2
7444,아베다 툴라사라™ 캄 컨센트레이트 30ml ,이엘씨에이한국유한회사,5, ,모든피부용,에센스,10
7445,네시픽 시카 플러스 클리어 세럼 50ml ,코스메카,4.5," 촉촉함(수분공급), 트러블케어","안티에이징, 유수분밸런스조절, 영양공급",에센스,112
7446,DMCK 엘릭시 앰플 2ml x 10ea ,DMCK,4.7, ,모든피부용,에센스,18
7447,꼬달리 비노수르스 S.O.S 써스트-퀀칭 세럼 30ml ,꼬달리,5, ,모든피부용,에센스,9
7448,노스테 리쥬베네이팅 에이지케어 에센스 30ml ,스킨큐어,5," 촉촉함(수분공급), 흡수력","저자극, 안티에이징, 화이트닝, 주름케어, 피부탄력",에센스,9
7449,SK-II LXP 얼티미트 퍼펙팅 에센스 150ml ,SK-II,4.7," 촉촉함(수분공급), 흡수력","저자극, 안티에이징, 화이트닝, 주름케어, 피부탄력",에센스,15
